questions asked,auc,z_auc,z_auc_lb,z_auc_ub
1,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765
4,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118
7,0.7148148148148148,0.7463333333333333,0.6762212846467002,0.8165050438599919
10,0.7951127819548872,0.815607142857143,0.7559234222766361,0.8753537005747549
13,0.7224264705882352,0.7812058823529412,0.7103055848018782,0.8521587484555775
16,0.6390977443609023,0.6878157894736842,0.6099963329367286,0.7657033634164636
19,0.536764705882353,0.6212941176470588,0.5355286036377582,0.7071402145204988
22,0.6037037037037037,0.7038333333333333,0.6293542632676926,0.7783614363275457
25,0.8419117647058824,0.8344117647058824,0.7848683352446497,0.8840353113174519
28,0.6487603305785123,0.7169545454545454,0.6481720526083445,0.7858129759258546
31,0.7846153846153845,0.8135749999999999,0.7627793076140199,0.8644275180854215
34,0.8125,0.85834375,0.8111778920221688,0.9055388065816055
37,0.8014705882352942,0.81234375,0.749741382475692,0.8750015966592568
40,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296
43,0.8043478260869565,0.7956521739130435,0.7385979653270741,0.8527878765651267
