questions asked,auc,z_auc,z_auc_lb,z_auc_ub
1,0.876492194674013,0.876492194674013,0.876492194674013,0.876492194674013
4,0.8890977443609023,0.9069078947368421,0.8619083757817023,0.9564826328729533
7,0.8824884792626728,0.9016714285714286,0.8675062909015959,0.9358604069383407
10,0.9282385834109972,0.9459655172413793,0.9190555563969143,0.9728820443180849
13,0.9465437788018434,0.9475806451612903,0.9283340216586595,0.96684509926283
16,0.9586397058823529,0.9629852941176471,0.9499597039314258,0.9760200400223218
19,0.9734093067426401,0.9734093067426401,0.9734093067426401,0.9734093067426401
22,0.9849624060150376,0.9849624060150376,0.9849624060150376,0.9849624060150376
25,0.9769585253456221,0.9711,0.9599289970179681,0.9822784812846754
28,0.9972426470588235,0.9972426470588235,0.9972426470588235,0.9972426470588235
31,0.9981566820276498,0.9981566820276498,0.9981566820276498,0.9981566820276498
34,0.9954086317722681,0.9954086317722681,0.9954086317722681,0.9954086317722681
37,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222
40,1.0,0.5,0.4177203101705293,0.58258797086041
43,1.0,0.5,0.4177203101705293,0.58258797086041
