questions asked,auc,z_auc,z_auc_lb,z_auc_ub
1,0.4724264705882353,0.4724264705882353,0.4724264705882353,0.4724264705882353
4,0.5845864661654134,0.6744736842105263,0.6027034084857692,0.7464041665108221
7,0.7111111111111111,0.7462666666666666,0.6855008620787284,0.8070815041831768
10,0.6522556390977443,0.7255714285714285,0.6682531699816401,0.7830018114863921
13,0.5944444444444444,0.6460333333333333,0.5809081285578447,0.7113636173791914
16,0.701923076923077,0.7711538461538462,0.7145363738351136,0.8278697676012674
19,0.6176470588235293,0.6985294117647058,0.6259887758734528,0.7711784385708643
22,0.6729323308270676,0.731,0.6555925109697596,0.8064516834884088
25,0.8185185185185185,0.8647222222222223,0.8184238214130393,0.9110512954627387
28,0.7153846153846154,0.740375,0.6715481697304866,0.8092948522324942
31,0.8222222222222222,0.8573666666666668,0.8147120373010744,0.9000505314035718
34,0.9849624060150377,0.9849624060150377,0.9849624060150377,0.9849624060150377
37,0.937037037037037,0.937037037037037,0.937037037037037,0.937037037037037
40,0.9669117647058824,0.9669117647058824,0.9669117647058824,0.9669117647058824
43,0.9774436090225564,0.9774436090225564,0.9774436090225564,0.9774436090225564
