questions asked,auc,z_auc,z_auc_lb,z_auc_ub
1,0.46415441176470595,0.46415441176470595,0.46415441176470595,0.46415441176470595
6,0.4776828110161444,0.5583461538461538,0.48123023441678625,0.6357258463019474
11,0.40495867768595045,0.5756818181818182,0.4982067968904482,0.6534077999981167
16,0.3827160493827161,0.5246666666666666,0.44620004561369275,0.6034261634153338
21,0.8667279411764706,0.889625,0.8672732040575899,0.9120104541869667
26,0.8630514705882354,0.89509375,0.8738548763275134,0.9163662819170433
31,0.9492481203007519,0.9645535714285715,0.9563155546210101,0.9728024500933483
36,0.880514705882353,0.919,0.9028845597515146,0.9351452136304966
41,0.9216589861751152,0.9403571428571429,0.9276076592717315,0.9531325780694905
46,0.9263746505125815,0.9451351351351351,0.9343308546679956,0.9559661694657646
51,0.8966165413533835,0.9154285714285715,0.8976000019069458,0.9332967394164842
56,0.8630009319664492,0.8887068965517242,0.8690938157238272,0.9083824744556117
61,0.8580645161290322,0.8882571428571429,0.868430266680422,0.9081492920936827
66,0.8599078341013824,0.9052142857142857,0.8894358795631132,0.9210482389146748
71,0.8396313364055299,0.8839857142857143,0.8619505664137923,0.9060623808270891
76,0.9088345864661653,0.9317321428571429,0.918219809087045,0.945274662800428
81,0.9046296296296297,0.9220333333333333,0.9083796352440211,0.9357299552854947
86,0.9092592592592592,0.9275833333333333,0.9108180986307116,0.9443736657947559
91,0.9329660238751147,0.9329660238751147,0.9329660238751147,0.9329660238751147
96,0.9238721804511278,0.9470000000000001,0.9382834315225652,0.9557461296560948
101,0.9840225563909775,0.9840225563909775,0.9840225563909775,0.9840225563909775
