questions asked,auc,z_auc,z_auc_lb,z_auc_ub
1.0,0.5136338125095865,0.5323826570518051,0.511071707955362,0.5537569324306998
6.0,0.5862058877286572,0.6584020301299257,0.5848554163214743,0.7320736862008634
11.0,0.5407780452184145,0.6200471678685625,0.5443142662563574,0.6959398563828287
16.0,0.6710015980866796,0.7257227193609869,0.6712583621789725,0.7803054375998849
21.0,0.8158155367822233,0.852885386260834,0.8193378412320752,0.8864810969312741
26.0,0.9028214328751075,0.9254537507868293,0.9129783982766322,0.9379564239657749
31.0,0.9285194788270151,0.8765762210760905,0.8554408766831112,0.8977748655346667
36.0,0.9275919307365664,0.9443870421876779,0.9346540127972147,0.9541414543782026
41.0,0.9350223225984073,0.8806678195515357,0.8589016257101253,0.9024956327864156
46.0,0.9488359913342458,0.9586498403805082,0.950069577894636,0.9672452093437975
51.0,0.9284533959844504,0.9442591646582786,0.9325516777471962,0.9559897710400644
56.0,0.9475270798635056,0.9228058238131206,0.9083413005548756,0.9373084177093918
61.0,0.9323567443027242,0.8822153013534328,0.8606390588663323,0.9038534743407508
66.0,0.920323698808395,0.9359229123569383,0.9237022831217833,0.9481718952403451
71.0,0.9278577795889191,0.9444199189322845,0.9339970801890546,0.9548615171004649
76.0,0.9384994228770561,0.9137765476351547,0.9002499958262966,0.9273368390947204
81.0,0.9389575962918071,0.9179579459895693,0.9034219364510192,0.9325342241583354
86.0,0.93299620321362,0.8798852841296995,0.8582499780081041,0.9015842404850688
91.0,0.9595966751817653,0.9317921107975234,0.9221404017481891,0.941471358601063
96.0,0.9562856395283436,0.9290656428717111,0.9193693156428316,0.9387925834864522
101.0,0.9632842655645512,0.8011443900271673,0.7693072772360875,0.8330917741403293
