questions asked,auc,z_auc,z_auc_lb,z_auc_ub
1,0.5,0.5,0.4177203101705293,0.58258797086041
6,0.5,0.5,0.4177203101705293,0.58258797086041
11,0.5259259259259259,0.5259259259259259,0.5259259259259259,0.5259259259259259
16,0.5263157894736842,0.5561052631578947,0.47795943327139484,0.6345026019114037
21,0.4981481481481482,0.611,0.5380104315207688,0.6842203729869588
26,0.6884920634920636,0.7420238095238095,0.6814150652072533,0.8027213718520209
31,1.0,0.5,0.4177203101705293,0.58258797086041
36,1.0,1.0,1.0,1.0
41,1.0,0.5,0.4177203101705293,0.58258797086041
46,1.0,0.5,0.4177203101705293,0.58258797086041
51,0.9963235294117647,0.9963235294117647,0.9963235294117647,0.9963235294117647
56,1.0,0.5,0.4177203101705293,0.58258797086041
61,1.0,0.5,0.4177203101705293,0.58258797086041
66,1.0,0.5,0.4177203101705293,0.58258797086041
71,1.0,0.5,0.4177203101705293,0.58258797086041
76,1.0,0.5,0.4177203101705293,0.58258797086041
81,1.0,0.5,0.4177203101705293,0.58258797086041
86,1.0,0.5,0.4177203101705293,0.58258797086041
91,1.0,0.5,0.4177203101705293,0.58258797086041
96,1.0,0.5,0.4177203101705293,0.58258797086041
101,1.0,0.5,0.4177203101705293,0.58258797086041
