questions asked,auc,z_auc,z_auc_lb,z_auc_ub
1,0.5772058823529411,0.5772058823529411,0.5772058823529411,0.5772058823529411
6,0.6851851851851851,0.7369722222222223,0.6667835698725998,0.8072205364118701
11,0.9060150375939849,0.9060150375939849,0.9060150375939849,0.9060150375939849
16,0.8161764705882353,0.8437058823529411,0.8015840788173305,0.8858906587040943
21,0.8478260869565217,0.8739,0.8443448979601116,0.9034858795908864
26,0.8222222222222222,0.8442222222222222,0.8059236365971565,0.8825930099938609
31,0.8909774436090225,0.8628421052631579,0.826726174008551,0.8990154144007202
36,0.8609022556390977,0.885142857142857,0.8447727800672645,0.9255349196025275
41,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777
46,1.0,0.5,0.4177203101705293,0.58258797086041
51,1.0,0.5,0.4177203101705293,0.58258797086041
56,1.0,0.5,0.4177203101705293,0.58258797086041
61,1.0,0.5,0.4177203101705293,0.58258797086041
66,1.0,0.5,0.4177203101705293,0.58258797086041
71,1.0,0.5,0.4177203101705293,0.58258797086041
76,1.0,0.5,0.4177203101705293,0.58258797086041
81,1.0,0.5,0.4177203101705293,0.58258797086041
86,1.0,0.5,0.4177203101705293,0.58258797086041
91,1.0,0.5,0.4177203101705293,0.58258797086041
96,1.0,0.5,0.4177203101705293,0.58258797086041
101,1.0,0.5,0.4177203101705293,0.58258797086041
