questions asked,auc,z_auc,z_auc_lb,z_auc_ub
1,0.7575757575757576,0.7575757575757576,0.7575757575757576,0.7575757575757576
6,0.8386948529411765,0.854171875,0.7950027899115727,0.9176048944492404
11,0.978860294117647,0.9730624999999999,0.9643805368862193,0.981751519529865
16,0.9953703703703703,0.9953703703703703,0.9953703703703703,0.9953703703703703
21,0.9934762348555453,0.9934762348555453,0.9934762348555453,0.9934762348555453
26,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.9846153846153847
31,0.9990783410138249,0.9990783410138249,0.9990783410138249,0.9990783410138249
36,0.9963269054178145,0.9963269054178145,0.9963269054178145,0.9963269054178145
41,0.9962721342031687,0.9962721342031687,0.9962721342031687,0.9962721342031687
46,1.0,0.5,0.4177203101705293,0.58258797086041
51,0.9990680335507922,0.9990680335507922,0.9990680335507922,0.9990680335507922
56,0.9926470588235294,0.9926470588235294,0.9926470588235294,0.9926470588235294
61,0.9917279411764706,0.9917279411764706,0.9917279411764706,0.9917279411764706
66,0.9990601503759399,0.9990601503759399,0.9990601503759399,0.9990601503759399
71,0.9981566820276497,0.9981566820276497,0.9981566820276497,0.9981566820276497
76,0.9981203007518797,0.9981203007518797,0.9981203007518797,0.9981203007518797
81,0.9963235294117647,0.9963235294117647,0.9963235294117647,0.9963235294117647
86,0.9972426470588235,0.9972426470588235,0.9972426470588235,0.9972426470588235
91,1.0,0.5,0.4177203101705293,0.58258797086041
96,0.9990783410138249,0.9990783410138249,0.9990783410138249,0.9990783410138249
101,1.0,0.5,0.4177203101705293,0.58258797086041
