questions asked,auc,z_auc,z_auc_lb,z_auc_ub
1,0.6212121212121212,0.6212121212121212,0.6212121212121212,0.6212121212121212
6,0.7023148148148147,0.7315138888888889,0.6636791364073935,0.7993876339822823
11,0.8257359924026589,0.8584814814814814,0.8100257548818941,0.9069607596654877
16,0.8462255358807083,0.8755810810810811,0.8244069280262881,0.9267834782609972
21,0.911520737327189,0.9294354838709677,0.8995650526318824,0.9593150776936668
26,0.9825367647058824,0.9825367647058824,0.9825367647058824,0.9825367647058824
31,0.9431500465983225,0.9145,0.8839339212912057,0.9450998365815877
36,0.975206611570248,0.9716969696969697,0.9598139035579742,0.9835877205493962
41,1.0,0.5,0.4177203101705293,0.58258797086041
46,0.983410138248848,0.9781451612903226,0.970882996135949,0.9854131895558558
51,0.978860294117647,0.97903125,0.9720498817050472,0.9860184076038602
56,0.9944852941176471,0.9944852941176471,0.9944852941176471,0.9944852941176471
61,0.9981617647058824,0.9981617647058824,0.9981617647058824,0.9981617647058824
66,1.0,0.5,0.4177203101705293,0.58258797086041
71,0.9962962962962962,0.9962962962962962,0.9962962962962962,0.9962962962962962
76,1.0,0.5,0.4177203101705293,0.58258797086041
81,0.9815668202764978,0.9740161290322581,0.9638298072394165,0.9842083139362592
86,0.9951923076923077,0.9951923076923077,0.9951923076923077,0.9951923076923077
91,1.0,0.5,0.4177203101705293,0.58258797086041
96,1.0,0.5,0.4177203101705293,0.58258797086041
101,1.0,0.5,0.4177203101705293,0.58258797086041
106,1.0,0.5,0.4177203101705293,0.58258797086041
111,0.9981481481481481,0.9981481481481481,0.9981481481481481,0.9981481481481481
116,1.0,0.5,0.4177203101705293,0.58258797086041
121,1.0,0.5,0.4177203101705293,0.58258797086041
126,1.0,0.5,0.4177203101705293,0.58258797086041
131,1.0,0.5,0.4177203101705293,0.58258797086041
136,1.0,0.5,0.4177203101705293,0.58258797086041
141,1.0,0.5,0.4177203101705293,0.58258797086041
146,1.0,0.5,0.4177203101705293,0.58258797086041
151,0.9972041006523765,0.9972041006523765,0.9972041006523765,0.9972041006523765
156,1.0,0.5,0.4177203101705293,0.58258797086041
161,1.0,0.5,0.4177203101705293,0.58258797086041
166,1.0,0.5,0.4177203101705293,0.58258797086041
171,1.0,0.5,0.4177203101705293,0.58258797086041
176,1.0,0.5,0.4177203101705293,0.58258797086041
181,1.0,0.5,0.4177203101705293,0.58258797086041
186,1.0,0.5,0.4177203101705293,0.58258797086041
191,1.0,0.5,0.4177203101705293,0.58258797086041
196,1.0,0.5,0.4177203101705293,0.58258797086041
201,1.0,0.5,0.4177203101705293,0.58258797086041
206,1.0,0.5,0.4177203101705293,0.58258797086041
211,1.0,0.5,0.4177203101705293,0.58258797086041
