questions asked,auc,z_auc,z_auc_lb,z_auc_ub
1.0,0.5789213183706551,0.5733657628150995,0.5699374424055383,0.5768069282676166
6.0,0.6818304832030692,0.7143347183939747,0.6412237870884618,0.7876093768467961
11.0,0.7836511403798999,0.8148022157053217,0.7566130704334703,0.8730311734436981
16.0,0.8151434638839424,0.8445754418267266,0.7925703907739591,0.8966120002465136
21.0,0.8640214907970646,0.8858260427821397,0.8462195113263021,0.9254539768744429
26.0,0.9157955979550381,0.9260834202364121,0.8973333930983628,0.9550682820622752
31.0,0.9348165283853466,0.9408132765120918,0.9172276507272809,0.9644227936451307
36.0,0.9597495405652502,0.9592012663455468,0.9442544578972883,0.9742314332129265
41.0,0.9708125966366284,0.9490015627499976,0.9352553481285115,0.9627758947895052
46.0,0.9863221830555537,0.9019424108851114,0.8843260382909256,0.9196123557045562
51.0,0.9896499679772107,0.9256510667703509,0.91309900079737,0.9382432721932069
56.0,0.9936422829586911,0.8677577088165341,0.8466229994186106,0.8889701583086468
61.0,0.996680924245172,0.8300142575785053,0.802587694302015,0.8575435811986419
66.0,0.9968132369737462,0.8713990978806089,0.8505382850776182,0.892337222162539
71.0,0.9974156064563539,0.726319541641539,0.6814279834701341,0.7713784069166834
76.0,0.9991827097200766,0.5825160430534099,0.5139496348621844,0.6513393521037516
81.0,0.9985399796515884,0.6232253675164118,0.561091170069607,0.6855910200327194
86.0,0.9991456899671936,0.6033123566338602,0.5381742688521959,0.6686945002316848
91.0,0.9998463135254637,0.583179646858797,0.5146132386675714,0.6520029559091387
96.0,0.9996918913921603,0.5413585580588268,0.4659355090484787,0.6170641980142028
101.0,0.9998465300472041,0.5415131967138708,0.4660901477035226,0.6172188366692466
106.0,0.9990757219981766,0.5824090553315099,0.5138426471402844,0.6512323643818516
111.0,0.9998450086202612,0.5623450086202612,0.4903502800194743,0.6346094831231199
116.0,0.9997308484089732,0.5830641817423065,0.5144977735510808,0.6518874907926481
121.0,0.9997681685380169,0.5831015018713502,0.5145350936801246,0.6519248109216919
126.0,0.9996546955475738,0.5413213622142405,0.46589831320389236,0.6170270021696164
131.0,0.9998851102941176,0.5415517769607844,0.4661287279504362,0.6172574169161602
136.0,0.9999617385981022,0.5207950719314356,0.4419437025115261,0.5999418773393285
141.0,0.9995016452402816,0.582834978573615,0.5142685703823894,0.6516582876239566
146.0,1.0,0.5,0.4177203101705293,0.58258797086041
151.0,0.9998449239469354,0.5415115906136021,0.4660885416032539,0.6172172305689779
156.0,1.0,0.5,0.4177203101705293,0.58258797086041
161.0,1.0,0.5,0.4177203101705293,0.58258797086041
166.0,1.0,0.5,0.4177203101705293,0.58258797086041
171.0,0.9999615975422427,0.520794930875576,0.4419435614556666,0.599941736283469
176.0,0.9999614197530864,0.5207947530864198,0.4419433836665103,0.5999415584943127
181.0,1.0,0.5,0.4177203101705293,0.58258797086041
186.0,1.0,0.5,0.4177203101705293,0.58258797086041
191.0,1.0,0.5,0.4177203101705293,0.58258797086041
196.0,1.0,0.5,0.4177203101705293,0.58258797086041
201.0,1.0,0.5,0.4177203101705293,0.58258797086041
206.0,1.0,0.5,0.4177203101705293,0.58258797086041
211.0,0.9999617034313726,0.520795036764706,0.44194366734479645,0.5999418421725988
