questions asked,auc,z_auc,z_auc_lb,z_auc_ub
1,0.5560185185185186,0.6687666666666666,0.6071633255691262,0.7305669996425116
6,0.8576036866359448,0.8864428571428571,0.8354928550988391,0.9379941580412157
11,0.8023897058823529,0.8284411764705883,0.7694136842730026,0.887485401746168
16,0.9053308823529411,0.915671875,0.8811943414265835,0.95016289465842
21,0.9313909774436091,0.9360526315789472,0.908279334174498,0.9638369246648312
26,0.9548872180451127,0.952421052631579,0.9313871727827072,0.9734640289069769
31,0.9680451127819548,0.9680451127819548,0.9680451127819548,0.9680451127819548
36,0.9398148148148149,0.95085,0.930137563170656,0.9715710886934098
41,0.9292929292929294,0.9423636363636364,0.9160829023651622,0.9686568213218103
46,0.9046296296296296,0.9220416666666666,0.8821223231346443,0.9619751348276245
51,0.9465437788018433,0.959725806451613,0.9426569010596257,0.9768019172088225
56,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9888888888888889
61,1.0,0.5,0.4177203101705293,0.58258797086041
66,1.0,0.5,0.4177203101705293,0.58258797086041
71,0.9925925925925926,0.9925925925925926,0.9925925925925926,0.9925925925925926
76,0.9954086317722681,0.9954086317722681,0.9954086317722681,0.9954086317722681
81,0.9859022556390977,0.9859022556390977,0.9859022556390977,0.9859022556390977
86,0.982905982905983,0.982905982905983,0.982905982905983,0.982905982905983
91,1.0,0.5,0.4177203101705293,0.58258797086041
96,0.9841565703634669,0.9776206896551725,0.9687558917196941,0.9864910300318009
101,0.9981566820276497,0.9981566820276497,0.9981566820276497,0.9981566820276497
