questions asked,auc,z_auc,z_auc_lb,z_auc_ub
1,0.5346153846153846,0.5346153846153846,0.5346153846153846,0.5346153846153846
6,0.9083333333333334,0.8976805555555556,0.8634900947141801,0.9319092502685399
11,0.9466911764705882,0.961514705882353,0.9398231466639894,0.9832138321276254
16,0.8823529411764707,0.8968529411764705,0.8488471788549592,0.9460353791627479
21,0.907735321528425,0.9264137931034483,0.8988936618611065,0.9539505861981528
26,0.9361111111111111,0.9404583333333334,0.91555487107818,0.9653719001468783
31,0.9431500465983225,0.9529482758620689,0.9287666197831835,0.9771378995532569
36,0.9346341463414634,0.94318,0.9166038048575755,0.9697632062932038
41,0.9601851851851851,0.944375,0.9308570263593625,0.9579190226726636
46,0.9714285714285715,0.9558387096774194,0.9447560633899508,0.9669405398387407
51,0.9620132953466287,0.9596538461538462,0.9427535685436499,0.9765631003921195
56,0.9788602941176471,0.9721029411764706,0.9587367674003723,0.9854763363387395
61,0.9861751152073732,0.9861751152073732,0.9861751152073732,0.9861751152073732
66,0.9935720844811754,0.9935720844811754,0.9935720844811754,0.9935720844811754
71,0.9841565703634669,0.9841565703634669,0.9841565703634669,0.9841565703634669
76,0.9931707317073171,0.9770731707317073,0.971238826159589,0.9829157794688991
81,0.9751838235294117,0.973014705882353,0.9575726577462734,0.9884632527372423
86,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222
91,0.9834101382488479,0.9834101382488479,0.9834101382488479,0.9834101382488479
96,0.9990783410138249,0.9990783410138249,0.9990783410138249,0.9990783410138249
101,0.9862132352941175,0.9862132352941175,0.9862132352941175,0.9862132352941175
