questions asked,auc,z_auc,z_auc_lb,z_auc_ub
1,0.7525629077353215,0.7586891891891892,0.6935876851211252,0.8238599995238503
6,0.8290441176470588,0.8418676470588236,0.7869004015202541,0.8968707861336185
11,0.8777777777777778,0.8979722222222222,0.8569927308929997,0.9389667509917136
16,0.8952205882352942,0.9124264705882352,0.8815046174913712,0.9433650567630935
21,0.9420955882352942,0.9474117647058823,0.926071920370632,0.9687642915313164
26,0.9416666666666667,0.9563999999999999,0.9335061321206496,0.9792993397838166
31,0.9490740740740741,0.9508000000000001,0.9218559518636744,0.9797495200407916
36,0.9462962962962963,0.9568666666666668,0.9301453097418021,0.9850581084710499
41,0.9734093067426401,0.9734093067426401,0.9734093067426401,0.9734093067426401
46,0.963235294117647,0.962984375,0.9422302110972027,0.9837451853623603
51,1.0,0.5,0.4177203101705293,0.58258797086041
56,0.9641873278236915,0.962030303030303,0.9453646640534457,0.9787028867153723
61,0.9898617511520738,0.9898617511520738,0.9898617511520738,0.9898617511520738
66,0.9785647716682199,0.9785647716682199,0.9785647716682199,0.9785647716682199
71,0.9843317972350231,0.9843317972350231,0.9843317972350231,0.9843317972350231
76,0.9943609022556391,0.9943609022556391,0.9943609022556391,0.9943609022556391
81,0.9935185185185186,0.9935185185185186,0.9935185185185186,0.9935185185185186
86,0.9981566820276497,0.9981566820276497,0.9981566820276497,0.9981566820276497
91,0.9925925925925925,0.9925925925925925,0.9925925925925925,0.9925925925925925
96,1.0,0.5,0.4177203101705293,0.58258797086041
101,1.0,0.5,0.4177203101705293,0.58258797086041
