questions asked,auc,z_auc,z_auc_lb,z_auc_ub
1,0.8268518518518518,0.8268055555555556,0.7769884552287667,0.876673209058583
6,0.8732782369146006,0.8832272727272727,0.8483465293584426,0.9181393080075454
11,0.8937558247903075,0.9199324324324325,0.8943785215352906,0.9455060518095468
16,0.9365808823529411,0.9539375,0.9361001938965758,0.9717882921884278
21,0.9774436090225563,0.9726315789473684,0.9632363380905284,0.9820347078162057
26,0.9442307692307693,0.9469375,0.9259605725262059,0.9679260641948563
31,0.9876543209876543,0.9876543209876543,0.9876543209876543,0.9876543209876543
36,0.9935720844811754,0.9935720844811754,0.9935720844811754,0.9935720844811754
41,0.9815668202764977,0.9815668202764977,0.9815668202764977,0.9815668202764977
46,0.9961538461538462,0.9961538461538462,0.9961538461538462,0.9961538461538462
51,0.9841565703634669,0.9841565703634669,0.9841565703634669,0.9841565703634669
56,1.0,0.5,0.4177203101705293,0.58258797086041
61,0.9953007518796992,0.9953007518796992,0.9953007518796992,0.9953007518796992
66,1.0,0.5,0.4177203101705293,0.58258797086041
71,0.9944852941176471,0.9944852941176471,0.9944852941176471,0.9944852941176471
76,1.0,0.5,0.4177203101705293,0.58258797086041
81,1.0,0.5,0.4177203101705293,0.58258797086041
86,1.0,0.5,0.4177203101705293,0.58258797086041
91,1.0,0.5,0.4177203101705293,0.58258797086041
96,1.0,0.5,0.4177203101705293,0.58258797086041
101,1.0,0.5,0.4177203101705293,0.58258797086041
