questions asked,auc,z_auc,z_auc_lb,z_auc_ub
1,0.6062441752096924,0.667,0.5857756869493139,0.7483408484205982
6,0.6272134203168687,0.6857567567567567,0.6082326426994987,0.763327988282466
11,0.8630009319664491,0.8947586206896552,0.8676893881196357,0.9218678726788998
16,0.8788443616029823,0.9024594594594595,0.8666009504121986,0.9383347349463762
21,0.916429249762583,0.9349444444444446,0.9066581485137947,0.9632414713395381
26,0.9265381083562902,0.9326818181818181,0.8962787609564584,0.9710962198965455
31,0.9244239631336405,0.9245322580645161,0.8852536283350904,0.9642752292623629
36,0.9439338235294117,0.962125,0.941829518546116,0.9824290359635715
41,0.928374655647383,0.9360151515151516,0.9182328677856507,0.953825141257373
46,0.9266917293233082,0.9374342105263158,0.9046346107586112,0.9702483242176024
51,0.962037037037037,0.9622222222222223,0.9379480605443633,0.987639040732173
56,0.9797794117647058,0.975764705882353,0.9647794822445823,0.9867564282389334
61,0.9757688723205964,0.9676351351351351,0.9538773055963379,0.9814006247822806
66,0.962037037037037,0.966,0.9576168970342942,0.9743962754558362
71,0.9555555555555555,0.9631527777777779,0.9393181261072804,0.9875131367732568
76,0.973345588235294,0.973345588235294,0.973345588235294,0.973345588235294
81,0.9759615384615384,0.9709,0.9564739553492343,0.9853343302159545
86,0.9487179487179487,0.9582222222222223,0.9388285428293812,0.9776249470288517
91,0.9972041006523765,0.9972041006523765,0.9972041006523765,0.9972041006523765
96,1.0,0.5,0.4177203101705293,0.58258797086041
101,0.9806985294117647,0.9806985294117647,0.9806985294117647,0.9806985294117647
