questions asked,auc,z_auc,z_auc_lb,z_auc_ub
1,0.7713498622589532,0.7713498622589532,0.7713498622589532,0.7713498622589532
6,0.8148496240601503,0.8454473684210526,0.7887708906951658,0.9021504067884343
11,0.7692307692307692,0.803425925925926,0.7501863494068889,0.8567171245950442
16,0.9632352941176471,0.96525,0.951839278108908,0.9786681749193706
21,0.852157943067034,0.870030303030303,0.8332638723509143,0.9068418284625317
26,0.9210526315789473,0.9270921052631579,0.892978887746168,0.9612144192066743
31,0.9631336405529953,0.9678857142857142,0.9574646805788167,0.978315434908406
36,0.9430147058823529,0.9520147058823529,0.9399733238244641,0.9640770080843035
41,0.9398148148148148,0.9515694444444445,0.9225518881791447,0.9824411435624978
46,0.9502304147465438,0.9625,0.9478925285149683,0.9771150943565766
51,0.9720410065237652,0.968081081081081,0.9542079874832748,0.9819621138903453
56,0.9574074074074075,0.9574074074074075,0.9574074074074075,0.9574074074074075
61,0.9834710743801652,0.9834710743801652,0.9834710743801652,0.9834710743801652
66,0.9879629629629629,0.9879629629629629,0.9879629629629629,0.9879629629629629
71,0.9898897058823529,0.9898897058823529,0.9898897058823529,0.9898897058823529
76,0.9791073124406457,0.9791073124406457,0.9791073124406457,0.9791073124406457
81,0.9944903581267217,0.9944903581267217,0.9944903581267217,0.9944903581267217
86,0.9981566820276498,0.9981566820276498,0.9981566820276498,0.9981566820276498
91,0.9990740740740741,0.9990740740740741,0.9990740740740741,0.9990740740740741
96,0.9962962962962963,0.9962962962962963,0.9962962962962963,0.9962962962962963
101,0.9972350230414746,0.9972350230414746,0.9972350230414746,0.9972350230414746
