questions asked,auc,z_auc,z_auc_lb,z_auc_ub
1.0,0.6741949490123637,0.6844979837809864,0.6413306613096252,0.7277181334105889
6.0,0.7501044040485806,0.7877342295561195,0.7278476617610719,0.8476576615997077
11.0,0.8116874800375541,0.8419352262240142,0.7949680984411508,0.8889318237986453
16.0,0.8936535163004249,0.9079587746815765,0.8732213227144671,0.9427234094530276
21.0,0.8836688006801058,0.8994715121231073,0.8631808446539846,0.9358237444151695
26.0,0.9061927500281143,0.9170049368788796,0.8874096435196491,0.946728013384281
31.0,0.9228889640884057,0.9309489133074003,0.9035070768737943,0.9584289246218572
36.0,0.9463358825608302,0.9525305807233685,0.934957753089635,0.9701116270955242
41.0,0.9442243978517885,0.9209205268690517,0.8973749853480234,0.9444940216376642
46.0,0.9540157042831399,0.9549012005667397,0.9381723934546345,0.9717706890102527
51.0,0.9680165229109645,0.966230417083723,0.9548723255796226,0.9776588445377082
56.0,0.9628194886405669,0.9367623503544036,0.9178620210284583,0.9556874487564444
61.0,0.9789758071857846,0.9781875646465258,0.9730059099990443,0.9833724870776351
66.0,0.9761334610264435,0.9783502993553788,0.9729018668730203,0.9838023041850327
71.0,0.9809437267548997,0.9525427349201713,0.9436415195772635,0.9614925672197212
76.0,0.9824155082075099,0.9523303012360866,0.9437898819141548,0.9608902757815783
81.0,0.9792361099350146,0.9512631354648973,0.9408932915050099,0.961652923157198
86.0,0.9842212644624104,0.983811767950406,0.9805805954883033,0.9870447388755079
91.0,0.9890662180224482,0.9323734852702326,0.9190309919905183,0.9457523014549872
96.0,0.9890559671537057,0.9329678285860901,0.9224414245262561,0.9435292271435374
101.0,0.9885162692984562,0.9302172631307223,0.918373700875694,0.9420980118200634
