variable,questions,mean,var,lower,upper
qsampled,1,0.16478780487804875,0.043800760680260314,0.13560525954575078,0.19397035021034673
runif,1,0.4489682926829268,0.13972468990401146,0.3968465509897745,0.501090034376079
m2,1,0.27774756097560976,0.07065731810599697,0.24068282447675504,0.31481229747446426
actual,1,0.1785972265572747,0.04558885215568873,0.1606644504858977,0.1965300026286517
qsampled,2,0.156040732582565,0.055572398606006435,0.132868545397116,0.179212919768014
runif,2,0.4242587426333294,0.13725689325360604,0.38784171134084333,0.4606757739258154
m2,2,0.24225633132512542,0.08075963198780078,0.21432223524124763,0.2701904274090032
actual,2,0.19402554273217906,0.05510877553907883,0.1833501256734445,0.20470095979091363
qsampled,3,0.19258287290021905,0.062329324473236594,0.1725659606010029,0.2125997851994351
runif,3,0.4467928232957769,0.12224263380264581,0.4187602978120676,0.47482534877948623
m2,3,0.2741277280575728,0.08146597112133395,0.25124335621812366,0.29701209989702193
actual,3,0.2155396283337583,0.061167988368160175,0.20572547687922876,0.22535377978828786
qsampled,4,0.22394277738018264,0.0777603094371289,0.20459012659890433,0.2432954281614609
runif,4,0.4701045623922732,0.12699450389629333,0.4453728645049298,0.49483626027961697
m2,4,0.36871467609213915,0.11502102894646764,0.34517773101393123,0.3922516211703472
actual,4,0.22471741756301827,0.06689177250967733,0.21506598601760468,0.23436884910843236
qsampled,5,0.2410890692185699,0.08310973550046781,0.22319947334422277,0.2589786650929171
runif,5,0.46663109908765676,0.12511123032575508,0.44468169533219526,0.4885805028431185
m2,5,0.36687933971580516,0.11199674439485532,0.3461121715771999,0.3876465078544105
actual,5,0.24030164913269605,0.07175951342711363,0.2311779643163505,0.2494253339490425
qsampled,6,0.2251608044353883,0.0794064043568816,0.20920113623400377,0.24112047263677294
runif,6,0.44443500681547154,0.12267241639638915,0.4245983009946372,0.4642717126363061
m2,6,0.33903797790169904,0.10860617897937631,0.32037317707244445,0.35770277873095385
actual,6,0.22952856859545634,0.07199962579015595,0.2212344754522786,0.2378226617386348
qsampled,7,0.2158562389665966,0.08080594127207665,0.2009529674754542,0.230759510457739
runif,7,0.43617093990776684,0.12515031342930968,0.4176238431747049,0.4547180366408291
m2,7,0.30639381622343437,0.10761213293649828,0.2891953156198845,0.32359231682698425
actual,7,0.22481758557865378,0.0724017059636207,0.21685580851277972,0.2327793626445285
qsampled,8,0.21395452300099513,0.08084668095282907,0.2000117853018351,0.22789726070015515
runif,8,0.43547383305575393,0.12729882941317236,0.4179782200162441,0.4529694460952638
m2,8,0.2977723607278468,0.10549424452730465,0.28184545744653344,0.31369926400916026
actual,8,0.22516547183842042,0.07235577289866714,0.21754676342290546,0.2327841802539356
qsampled,9,0.22673359942092566,0.08053341320285662,0.21361485778217815,0.23985234105967324
runif,9,0.43475255170344307,0.12143688259695383,0.41864314926102275,0.4508619541458635
m2,9,0.30639924511287286,0.10211244240753142,0.2916271036407631,0.32117138658498273
actual,9,0.23160293109066818,0.07289840662760372,0.22420415802256438,0.23900170415877153
qsampled,10,0.238955494183858,0.08786413549377149,0.22595673347237394,0.25195425489534207
runif,10,0.43998342329518514,0.1251037506247707,0.42447272701120586,0.4554941195791644
m2,10,0.3113490814033538,0.10853523605190844,0.2969019538726504,0.3257962089340575
actual,10,0.23522562269400626,0.07542203757955393,0.228103341382256,0.24234790400575626
qsampled,11,0.23395676431703955,0.08927691849613965,0.2214643766588396,0.2464491519752396
runif,11,0.4359888627226643,0.12823323053087546,0.42101698924114583,0.45096073620418287
m2,11,0.3039074461982837,0.10938455049633371,0.2900796219821751,0.3177352704143922
actual,11,0.2415770773548256,0.08577225161417146,0.23469394580728442,0.24846020890236703
qsampled,12,0.23509077854603083,0.0862018114357384,0.22333856068557267,0.24684299640648905
runif,12,0.42836316745248554,0.12446947405375196,0.41424126962997687,0.4424850652749944
m2,12,0.3141527131276475,0.10630541050287794,0.30110184738230095,0.3272035788729942
actual,12,0.24159470017708234,0.08522869911350146,0.23477883423272347,0.24841056612144144
qsampled,13,0.23180572307874112,0.0836961540140836,0.22068030177333672,0.2429311443841455
runif,13,0.41835866208699807,0.12075558350713392,0.4049952510864375,0.4317220730875586
m2,13,0.32043804819209903,0.10114211223711861,0.308207956170135,0.33266814021406316
actual,13,0.241699505259835,0.08363187390744574,0.23508481234932604,0.2483141981703441
qsampled,14,0.232382102001928,0.08194352244100939,0.22177457295166214,0.24298963105219384
runif,14,0.41192405486295913,0.11670307989280322,0.39926509350186173,0.42458301622405664
m2,14,0.32337279985659206,0.09729751940404299,0.3118141315941044,0.3349314681190798
actual,14,0.24118793732367735,0.08315537403118307,0.23470204118861326,0.24767383345874167
qsampled,15,0.2474804134876235,0.09488855981783496,0.2364531004808957,0.25850772649435133
runif,15,0.4205503136422294,0.12413111858575311,0.40793775759995327,0.4331628696845055
m2,15,0.33597411335962346,0.10756948974001757,0.3242330527826524,0.3477151739365946
actual,15,0.24254471802285926,0.08529619680420575,0.2362201756234584,0.24886926042226024
qsampled,16,0.2510221875146925,0.09278323929536501,0.24046441705252455,0.26157995797686046
runif,16,0.4155297267069065,0.12088217771941175,0.4034788515314724,0.4275806018823404
m2,16,0.3347144008652903,0.10524090743675742,0.3234701702981025,0.3459586314324781
actual,16,0.2436990936235318,0.08387138521373111,0.2375516712521671,0.24984651599489624
qsampled,17,0.27365065650625325,0.10997533101496901,0.2624997301447853,0.2848015828677212
runif,17,0.4331759369678545,0.1330251631925023,0.4209119915463095,0.4454398823893992
m2,17,0.35859466637277193,0.12077234380794187,0.34690917292477663,0.37028015982076734
actual,17,0.29326453428698973,0.11360656013997886,0.2866256123244195,0.29990345624955916
qsampled,18,0.26603271879911566,0.10888372319725627,0.2552500962809197,0.2768153413173117
runif,18,0.42940393572130225,0.13298191992025607,0.4174876963265717,0.4413201751160325
m2,18,0.34976521434731406,0.12089972394403095,0.3384031936846007,0.3611272350100274
actual,18,0.272115390482441,0.11249255740660474,0.26597404467633773,0.27825673628854425
qsampled,19,0.26561346008528913,0.10794212284708685,0.2551640888646112,0.27606283130596715
runif,19,0.42865793325948953,0.13254566072876955,0.41707876305375957,0.44023710346521927
m2,19,0.3512908667435637,0.12031764071768432,0.34025873767184744,0.36232299581528005
actual,19,0.2725974819898355,0.11217384215183006,0.26654435850903313,0.278650605470638
qsampled,20,0.266358214431452,0.10555286561080955,0.25628693663592594,0.2764294922269782
runif,20,0.42753401095548943,0.13020822987864175,0.416348166432915,0.43871985547806364
m2,20,0.3505991866542488,0.11724055660149287,0.3399849565864043,0.361213416722093
actual,20,0.27264895710993164,0.10948285127771636,0.2668174771082424,0.2784804371116209
qsampled,21,0.26302423740946373,0.10524073463464065,0.2532103609991323,0.27283811381979517
runif,21,0.42246384881763777,0.12980723676118885,0.4115645614936883,0.433363136141587
m2,21,0.3382979266837002,0.11754273593914105,0.3279263078773136,0.34866954549008666
actual,21,0.2719525031754275,0.10929595397141736,0.2661419547535071,0.2777630515973478
qsampled,22,0.2616599547569719,0.10524674537013673,0.25207156674759246,0.27124834276635146
runif,22,0.43123844423777835,0.13217470989255162,0.4204932209232743,0.4419836675522821
m2,22,0.336557307409964,0.11822858469415962,0.32639476179039684,0.3467198530295308
actual,22,0.2698781879562408,0.10875049682200759,0.2641820522362314,0.2755743236762502
qsampled,23,0.26046394740728984,0.10616861815361832,0.2510454511459991,0.2698824436685807
runif,23,0.4367358410721606,0.13293896683694878,0.4261965927594609,0.4472750893848599
m2,23,0.33276483131139406,0.11898467745693334,0.322794054243978,0.34273560837881
actual,23,0.26977737274737384,0.10891473607008938,0.2640917112866941,0.27546303420805357
qsampled,24,0.2570536957981337,0.10412386076910041,0.2479228259728696,0.26618456562339776
runif,24,0.4301013619692744,0.13169961852883316,0.419832335379067,0.44037038855948135
m2,24,0.3267981051643352,0.1176662598518788,0.3170915976637638,0.33650461266490617
actual,24,0.2681544976683273,0.10806444812799283,0.2625437151241303,0.2737652802125243
qsampled,25,0.25576634760287287,0.10435025311793318,0.2468103285968033,0.26472236660894255
runif,25,0.4371429488816917,0.13397876944476786,0.4269948136609669,0.4472910841024156
m2,25,0.3314480530417517,0.12031682967641147,0.3218312340228476,0.34106487206065556
actual,25,0.26759765098872323,0.1077775520173712,0.26204937699205605,0.2731459249853904
qsampled,26,0.2590088507170481,0.10439423545323973,0.2502249828041311,0.267792718629965
runif,26,0.43978030799063755,0.13251989640087108,0.42988366095730063,0.44967695502397415
m2,26,0.3382769740786074,0.11912570926656833,0.32889378890239895,0.3476601592548155
actual,26,0.268072354295236,0.1078356283329743,0.2625396311507403,0.2736050774397317
qsampled,27,0.2644838923708411,0.1071691757573004,0.25575048881935786,0.2732172959223242
runif,27,0.4384260108692912,0.13258401989384597,0.4287120986546282,0.44813992308395356
m2,27,0.3395317221650957,0.12065389277138101,0.33026514700909004,0.3487982973211011
actual,27,0.26884095050828666,0.10764533589768503,0.263347508564736,0.27433439245183733
qsampled,28,0.26106482478616816,0.10721063563381443,0.25248720273342706,0.26964244683890926
runif,28,0.435067046195388,0.13367545204614587,0.42548906893322436,0.4446450234575513
m2,28,0.3344368392306281,0.12064187589991333,0.32533776911185525,0.3435359093494004
actual,28,0.2687420013637474,0.10766120566341397,0.26325195942420987,0.2742320433032849
qsampled,29,0.2567738535629472,0.10739355236383939,0.24833829483643544,0.2652094122894587
runif,29,0.43228332440152695,0.13658755802914122,0.42277004352310926,0.4417966052799441
m2,29,0.33127400879255864,0.1217288063802489,0.3222930763211246,0.34025494126399247
actual,29,0.2672391056871602,0.10877271036672931,0.2618152369901376,0.2726629743841828
qsampled,30,0.2554528203489442,0.10785737849329016,0.247141212810568,0.26376442788732013
