variable,questions,mean,var,lower,upper
qsampled,1,0.2595142833424953,0.0913442615504309,0.24075936340688192,0.27826920327810883
runif,1,0.46823168764278617,0.11811084806723005,0.446905193201489,0.4895581820840832
m2,1,0.40720383812193084,0.09720937590442416,0.3878561687438653,0.4265515074999966
qsampled,2,0.2535338564186273,0.08300217650281846,0.24089985651389842,0.26616785632335604
runif,2,0.40555945466729326,0.1088805657472291,0.39108936196785027,0.4200295473667359
m2,2,0.36887612602576697,0.09079535821547921,0.3556623192420836,0.38208993280945003
qsampled,3,0.25994689139817184,0.09150612764694006,0.2491179036306255,0.2707758791657179
runif,3,0.42312493696173625,0.11825739979745495,0.4108144016754766,0.43543547224799567
m2,3,0.37095114015787256,0.09975625541376579,0.3596445189244801,0.38225776139126455
qsampled,4,0.3005450577597403,0.11625475682694582,0.2899755459791501,0.31111456954033034
runif,4,0.4454116238417854,0.12600960996566024,0.4344076032410224,0.4564156444425495
m2,4,0.40120974733606246,0.1169014767629811,0.3906108774710994,0.4118086172010263
qsampled,5,0.30800133604644103,0.11658881697792516,0.29853467775945225,0.31746799433343015
runif,5,0.45471432096952197,0.12643884384975063,0.4448558738523516,0.4645727680866927
m2,5,0.41432638823699025,0.11674548803111713,0.40485337147825684,0.4237994049957242
qsampled,6,0.32538864618929114,0.12629580958863448,0.31639461128440083,0.33438268109418157
runif,6,0.46784677154481474,0.13567645930286548,0.4585247017796747,0.47716884130995446
m2,6,0.42100696123207143,0.12613337872266,0.4120187118671342,0.4299952105970091
qsampled,7,0.3478554781102742,0.1388857276377392,0.33912369397256975,0.3565872622479786
runif,7,0.4853251111252713,0.1453059986232515,0.4763937848871655,0.4942564373633767
m2,7,0.4509469501173405,0.13729557394887484,0.4422652965849235,0.4596286036497575
qsampled,8,0.38533595192766484,0.14924518420726834,0.3768691581773143,0.39380274567801515
runif,8,0.5062522222185235,0.14748365685691966,0.4978355431806709,0.5146689012563759
m2,8,0.4771695345013491,0.13998056385978538,0.46896974532072366,0.4853693236819743
qsampled,9,0.3879266536256697,0.14630158775985264,0.3800233298808259,0.3958299773705132
runif,9,0.5128140703309977,0.14431741399861167,0.5049645228324549,0.5206636178295405
m2,9,0.4785400727664993,0.13751560070584268,0.47087773596273486,0.4862024095702635
qsampled,10,0.3927207737566398,0.15199380538148746,0.3850786580486749,0.40036288946460463
runif,10,0.5212283212768034,0.1471538438451938,0.5137088644480077,0.5287477781055996
m2,10,0.48178865291879774,0.14219171034261605,0.4743970640311182,0.4891802418064773
qsampled,11,0.41208252814580754,0.1554135388844221,0.4047146240030986,0.41945043228851636
runif,11,0.5269008972660525,0.15067534471707908,0.5196461775379454,0.5341556169941596
m2,11,0.4983782776021463,0.14503968085981556,0.49126052383511876,0.5054960313691739
qsampled,12,0.40695138296600203,0.15506080185253995,0.39990522636634135,0.4139975395656626
runif,12,0.5299856204163735,0.14985279640059412,0.52305880357484,0.536912437257907
m2,12,0.49960265151000754,0.14466543097576762,0.4927967813278482,0.5064085216921668
qsampled,13,0.42768087236244445,0.16275707015317048,0.42074522846883217,0.43461651625605663
runif,13,0.5474132172792315,0.15353807728741242,0.5406768632467821,0.554149571311681
m2,13,0.521222676927915,0.1491629324916666,0.5145829944482686,0.5278623594075612
qsampled,14,0.4267686452496707,0.16217173472107313,0.4200973646881016,0.43343992581123997
runif,14,0.5390800465942164,0.15414108756215952,0.532576042085672,0.5455840511027608
m2,14,0.5067464856937575,0.15069686258825357,0.500315556475957,0.5131774149115581
qsampled,15,0.4327675022427617,0.16440506885889933,0.4262782432066716,0.43925676127885194
runif,15,0.5465832216704374,0.1552026808933957,0.540278192238155,0.5528882511027198
m2,15,0.5096780371448094,0.1526305291871174,0.5034254721650777,0.5159306021245411
qsampled,16,0.4343545877541849,0.16736789839436658,0.42801505809843593,0.44069411740993375
runif,16,0.5512586229051643,0.15741974652925741,0.5451103864632438,0.5574068593470847
m2,16,0.5078232260533867,0.15651939990852473,0.5016925969375496,0.5139538551692235
qsampled,17,0.4352966116982981,0.16492144727743036,0.4291915069079689,0.44140171648862725
runif,17,0.5462299095023209,0.15581535789268758,0.5402957435853845,0.5521640754192573
m2,17,0.5020591609421505,0.1547901089380595,0.4961445503455812,0.5079737715387199
qsampled,18,0.4499622126703181,0.16587802316600367,0.44401195915467223,0.45591246618596387
runif,18,0.5552894041980009,0.1560119054675005,0.5495188182392157,0.5610599901567863
m2,18,0.5110329316149707,0.15702539276623537,0.5052436325068935,0.516822230723048
qsampled,19,0.45020214131634295,0.16271530752825175,0.44446608819634476,0.45593819443634115
runif,19,0.5539164057091321,0.15321699166733055,0.548350287512296,0.5594825239059683
m2,19,0.5021645018128806,0.15494633710649083,0.49656705963552583,0.5077619439902354
qsampled,20,0.44929336481268056,0.16090002118283053,0.4437338431263826,0.45485288649897854
runif,20,0.5504134035408044,0.1522380080822905,0.5450055997677599,0.5558212073138491
m2,20,0.49596220554377524,0.1542666224217905,0.4905184907516831,0.5014059203358674
qsampled,21,0.4389668786327915,0.1568526144587455,0.43361003021041383,0.4443237270551689
runif,21,0.5392240175632033,0.15031318206586056,0.5339800256766575,0.544468009449749
m2,21,0.48413309074382777,0.1495568191861152,0.47890230915241094,0.4893638723352448
qsampled,22,0.43890193705789565,0.15578990417086985,0.43368602451498545,0.4441178496008055
runif,22,0.5349184154665666,0.14983964396245847,0.5298030812757994,0.540033749657334
m2,22,0.4808457887080964,0.1489459932767036,0.47574573137625087,0.48594584603994173
qsampled,23,0.4428100220221487,0.15667891740591872,0.43769423671606084,0.44792580732823656
runif,23,0.5353581710086773,0.1505755378199507,0.5303430173869063,0.5403733246304484
m2,23,0.48281511707121894,0.14999265307163745,0.47780967980544636,0.4878205543369916
qsampled,24,0.4365764066410028,0.15567640070948435,0.43158439298299406,0.4415684202990115
runif,24,0.5314907381064806,0.14953115358652705,0.5265982450747294,0.536383231138232
m2,24,0.47800334027393787,0.14879533906715742,0.4731228996036572,0.4828837809442184
qsampled,25,0.4405551071836584,0.15626036717496675,0.4356547974149136,0.4454554169524029
runif,25,0.537418767492877,0.14929962209340764,0.5326288451941165,0.5422086897916377
m2,25,0.47997414388019366,0.15015165281559376,0.47517057333902885,0.4847777144213585
qsampled,26,0.43981591118235674,0.1550583720289304,0.43502928793495127,0.44460253442976233
runif,26,0.5357862196649303,0.14828333699662402,0.5311053363926359,0.5404671029372246
m2,26,0.4762941179424338,0.14909919865589333,0.4716003751180859,0.4809878607667815
qsampled,27,0.43559039121237253,0.15229611793924863,0.4309352796303741,0.4402455027943711
runif,27,0.5318489053214968,0.14609768342936866,0.5272895090093515,0.5364083016336418
m2,27,0.46793426726288495,0.1464389925102304,0.46336954829427296,0.47249898623149694
qsampled,28,0.4386180178635762,0.15233149103574822,0.4340462655187982,0.44318977020835415
runif,28,0.534492821030162,0.1458589387266545,0.5300192496178512,0.5389663924424731
m2,28,0.46768015808640656,0.14716291192568984,0.4631866343914297,0.4721736817813832
qsampled,29,0.4375371266374895,0.15102258037317512,0.4330642372102269,0.442010016064752
runif,29,0.5321885591433269,0.14474350115069928,0.5278096417164135,0.5365674765702402
m2,29,0.465213789496887,0.14676333285850313,0.4608044249903591,0.4696231540034149
qsampled,30,0.4367311363552389,0.1511084351709287,0.4323321831662123,0.4411300895442654
runif,30,0.53232092600351,0.1448166509682471,0.528014527297703,0.536627324709317
m2,30,0.4686109493886214,0.14664238013420472,0.4642774899399976,0.4729444088372451
qsampled,31,0.4368702342586784,0.15113395551562048,0.4325424537556048,0.44119801476175197
runif,31,0.5313520814864537,0.14465298893659573,0.5271181102092918,0.5355860527636157
m2,31,0.46716685302948074,0.1460306780916427,0.4629127671547651,0.4714209389041962
qsampled,32,0.43442233635994104,0.14952816627580912,0.43018540885566753,0.43865926386421433
runif,32,0.5266396944063999,0.14385836618662656,0.5224838709384104,0.5307955178743896
m2,32,0.4599868942249771,0.144505390363544,0.4558217355279746,0.46415205292197953
qsampled,33,0.4355151438053086,0.14960955152498323,0.43134177552066866,0.4396885120899485
runif,33,0.5257066743794423,0.14377055977512512,0.5216155561289141,0.5297977926299703
m2,33,0.4600370520436776,0.14405943954634196,0.4559418256912193,0.4641322783961359
qsampled,34,0.4348418461514808,0.1492582637859141,0.4307351432373268,0.4389485490656348
runif,34,0.5252464316880399,0.14360360850250764,0.5212182711534581,0.5292745922226216
m2,34,0.46098875351779145,0.1443765824452924,0.45694976635973633,0.46502774067584646
qsampled,35,0.4361096225648239,0.14933555365879964,0.4320609682561062,0.4401582768735416
runif,35,0.5267270330890307,0.14388873661641394,0.5227528992597629,0.5307011669182987
m2,35,0.45933017335650705,0.14467703426072165,0.45534516820630144,0.4633151785067128
qsampled,36,0.4351448136647798,0.14871231791164602,0.4311611293631748,0.4391284979663848
runif,36,0.5255258487412281,0.14324510475332705,0.5216160775928322,0.529435619889624
m2,36,0.45697513989292626,0.1439404039587287,0.4530558913876372,0.46089438839821534
qsampled,37,0.43574662871117625,0.1488431194926443,0.4318154225640672,0.4396778348582852
runif,37,0.5272808325432091,0.14313202608338638,0.5234257840459113,0.5311358810405067
m2,37,0.4610134608016881,0.144560616957414,0.4571392215843142,0.464887700019062
qsampled,38,0.4314222245966243,0.1489551716494634,0.4275416331735789,0.43530281601966975
runif,38,0.5260239512295344,0.14271520886827188,0.5222255113665114,0.5298223910925574
m2,38,0.4595224432497638,0.14419966363804254,0.45570429972148324,0.4633405867780444
qsampled,39,0.42746784406533334,0.14776877055943077,0.4236526151899367,0.43128307294073
runif,39,0.5232284574244733,0.14245764765103286,0.5194824196644566,0.52697449518449
m2,39,0.4553725639548103,0.14355221216915312,0.4516121625079915,0.45913296540162885
qsampled,40,0.4260143731117247,0.14781922629601196,0.4222464962629937,0.42978224996045544
runif,40,0.5234335346441253,0.14250969369136837,0.5197339459757975,0.5271331233124532
m2,40,0.4572960534408401,0.14332270625465518,0.45358592677219267,0.4610061801094876
qsampled,41,0.4226570157177044,0.14718967059119267,0.41894330859443624,0.4263707228409726
runif,41,0.5201484788223292,0.14228814960436523,0.5164971297843481,0.5237998278603102
m2,41,0.4541722777640542,0.14293593467952623,0.45051262654680785,0.4578319289813005
qsampled,42,0.41924748686178315,0.14570839086379056,0.41559676923346944,0.42289820449009685
runif,42,0.5157732984237263,0.14078732546457004,0.5121847588389934,0.5193618380084593
m2,42,0.4501865494971994,0.1411557874623996,0.4465933171020017,0.45377978189239687
qsampled,43,0.4211894286833949,0.1457199198618547,0.41758127065695755,0.4247975867098322
runif,43,0.515655678131042,0.14049684116748815,0.5121127742654069,0.5191985819966772
m2,43,0.45127168972421555,0.14103554122103976,0.4477220001667859,0.4548213792816453
qsampled,44,0.4211052896876166,0.1455704298481906,0.41754020145986787,0.42467037791536516
runif,44,0.514709231441801,0.14084822605106379,0.5112024444195664,0.5182160184640356
m2,44,0.4521046433312426,0.1416062105884984,0.448588432960808,0.455620853701677
qsampled,45,0.42026818541463756,0.14459022344220826,0.41675482276366654,0.4237815480656088
runif,45,0.5131741149740876,0.13982858704136567,0.5097190875386539,0.5166291424095213
m2,45,0.4485802169374493,0.1405752250983667,0.4451159774354253,0.45204445643947355
qsampled,46,0.4183656804265642,0.14342161490622707,0.41490478954218285,0.42182657131094564
runif,46,0.5099267543076195,0.1388237073768697,0.5065217911116131,0.5133317175036258
m2,46,0.4443892245168013,0.13907713725239468,0.440981154769514,0.4477972942640886
qsampled,47,0.4162783093695296,0.1431188630979338,0.41285805201526576,0.4196985667237934
runif,47,0.5080326598788594,0.13907391634224192,0.5046610820532279,0.5114042377044913
m2,47,0.4447542175519038,0.13963051098420215,0.4413758996834979,0.44813253542030984
qsampled,48,0.4159302394199999,0.1431158943690743,0.4125458341837925,0.41931464465620744
runif,48,0.5072765699074355,0.1387223728619797,0.5039445186142647,0.5106086212006063
m2,48,0.44573358771787713,0.13941626702177548,0.4423932133013213,0.44907396213443296
qsampled,49,0.41598844268392154,0.1430942740439088,0.41263900496400246,0.4193378804038406
runif,49,0.507923901680397,0.1387230333970836,0.5046260200214406,0.5112217833393532
m2,49,0.44707897295140836,0.13927947742987382,0.4437744837018172,0.4503834622009995
qsampled,50,0.4139304001396403,0.1422578671854152,0.4106243323917372,0.4172364678875435
